REGISTRO,INMUEBLE,AYUNTAMIENTO,LOCALIDAD,DATE,YEAR
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Centro Catequesis,Cendea de Cizur ,Astrain ,01/02/2000,2000
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Centro Catequesis Planta 1ª Calle San Cosme,Cendea de Cizur ,Astrain ,01/02/2000,2000
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Vivienda nº2 Calle San Cosme y San Dam.,Cendea de Cizur ,Astrain ,01/02/2000,2000
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Almacén Parroquial c. San Cosme y Sn. Da,Cendea de Cizur ,Astrain ,01/02/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Local comercial nº 10 calle Miguel Pérez,Mendavia,,01/03/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Local Comercial nº 29 calle Estación,Mendavia,,01/03/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Local nº 5 Calle de La estación,Mendavia,,01/03/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Local Comercial nº2 Calle de La Estación,Mendavia,,01/03/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 22 concentración parcelaria,Zuñiga ,,01/04/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 30 concentración parcelaria,Zuñiga ,,01/04/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 85 concentración parcelaria,Zuñiga ,,01/04/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 157 concentración parcelaria,Zuñiga ,,01/04/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 93 concentración parcelaria,Zuñiga ,,01/04/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 136 concentración parcelaria,Zuñiga ,,01/04/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 151 concentración parcelaria,Zuñiga ,,01/04/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1., Finca nº 147 concentración parcelaria,Zuñiga ,,01/04/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Huerta camino de las huertas,Zuñiga ,,01/04/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Andrés 01/04/2004,Goñi ,,01/04/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Antonio y San Quiriaco,Goñi ,,01/04/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia la Expectación,Goñi ,Munárriz  ,01/04/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Román,Goñi ,Urdanoz,01/04/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Martín,Goñi ,Azanza,01/04/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Terreno secano nº 119 Concentración Parc.,Los Arcos,,01/04/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 1119 Concentración Parcelaria,Los Arcos,,01/04/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Sta. Barbara,Lerga ,,01/10/2001,2001
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Sra. De Belen,Roncal – Isaba ,,01/10/2001,2001
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Terreno nº 12 A,Oteiza y Baigorri,,01/12/1998,1998
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia,San Adrian ,,01/12/1998,1998
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa María,Torralba del Rio ,,02/02/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa María,Torres del Río ,,02/02/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Santo Sepulcro,Torres del Río ,,02/02/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa Eulalia,Ganuza,Metauten ,02/02/2005,2005
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Solar bilabakoiz nº 10 A,Aranguren,Labiano ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Purificacion,Aranguren,Labiano ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Emeterio,Aranguren,Tajonar ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban ,Aranguren,Zolina ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Labereku,Aranguren,Zolina,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Miguel,Egües,Badostain,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Ntra. Señora,Elorz, ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asunción,Elorz,Ezperun,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Elorz,Imarcoain,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Miguel,Elorz,Noain ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Salvador,Elorz,Otano,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Elorz,Torres de Elorz,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Natividad,Elorz,Yarnoz ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Purificacion,Elorz,Zabalegui,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban,Elorz,Zulueta,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia San Clemente,Ibargoiti,Izco,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Natividad,Monreal ,,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban,Tiebas,Muruarte de Reta ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Casa Parroquial,Tiebas,Muruarte de Reta ,02/03/2004,2004
