REGISTRO,INMUEBLE,AYUNTAMIENTO,LOCALIDAD,DATE,YEAR
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San martín,Ayegui,Iratxe ,20/05/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Martin,Ayegui,Iratxe ,20/05/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa Cecilia,Sorlada ,,20/05/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Basílica Gregorio Hostiense,Sorlada ,,20/05/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa Cecilia,Sorlada ,,20/05/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Basilica a S. Gregorio Ostiense,Sorlada ,,20/05/2002,2002
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Juan Bautista,Oyeregui ,,20/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia Justo y Pastor,Zozaya ,,20/09/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa María,Allo ,,20/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Santo Cristo de las Aguas,Allo ,,20/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa Eugenia,Mues ,,20/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa María,Aras,,20/10/2005,2005
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita S. Salvador,Esteribar ,,21/01/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita de San miguel,Aranaratxe ,,21/01/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Ntra. Sra de los Remedios,Luquin ,,21/01/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Ntra. Sra de La Cuesta,Mues,,21/01/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,"Ermita Ntra Sra,de los Remedios",Sesma ,,21/01/2002,2002
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban,Erro,Aincioa ,21/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Erro,Ardaiz ,21/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban,Erro,,21/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Erro,Esnoz ,21/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Bartolomé,Erro,Espinal ,21/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Saturnino,Erro,Linzoain ,21/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Andres y cementerio,Erro,Loizu ,21/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Cristóbal,Erro,Mezquiriz ,21/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Juan,Erro,Olondriz ,21/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Erro,Viscarret ,21/03/2003,2003
REGISTRO DE LA PROPIEDAD DE TUDELA/TUTERA Nº .1.,Parroquia San Miguel,Cadreita ,,21/03/2007,2007
REGISTRO DE LA PROPIEDAD DE TUDELA/TUTERA Nº .1.,Iglesia Catedral,Tudela ,,21/03/2007,2007
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Sta. Maria,Tafalla ,,21/08/2006,2006
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Santa Cruz,Artazu ,,21/11/2000,2000
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Finca 5.050 m/2 calle Legia,Vera de Bidasoa ,,22/02/2007,2007
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 12 concentración parcelaria,Andosilla ,,22/03/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,San Zoilo,Sansol ,,22/05/2005,2005
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita Santa Crutz,Etxalar ,,22/06/2001,2001
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Viña- Regadio – paraje El Raso del Barco,Azagra ,,23.06-2005,2005
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .2.,Catedral Metropolitana,Pamplona ,,23/01/2007,2007
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia de El Salvador,Azagra ,,23/03/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Almacen – Calle Cortes de Navarra nº 32-A,Azagra ,,23/03/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Félix Obispo,Mendaza y Acedo ,,23/03/2005,2005
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Sta. Engracia,Egüés,Sarriguren ,23/05/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita El Calvario,Los Arcos ,,23/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Vicente martir,Abaigar ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita San Bartolomé,Abaigar ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Asunción,Acedo/Mendaza ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Pinar en el paraje Laplanilla,Azagra ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa María,Bargota ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Ntra. Sra. Del Poyo,Bargota ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santiago El Mayor,Cabredo ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Pastos- Arbolado paraje Solcasa,Cabredo ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Miguel,Carcar ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Casa parroquial,Carcar ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Pedro,Lana,Galbarra,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Saturnino,Lana,Gastiain ,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Millán,Lana,Narcue ,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa María,Lana,Ulibarri ,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Local adosado parroquia,Lana,Ulibarri ,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Andres,Lana,Viloria ,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Miguel,Lodosa ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Miguel,Lodosa ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Asunción,Los Arcos ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita San Sebastian,Los Arcos ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita San Blas,Los Arcos ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Santo Cristo,Marañon ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San martín,Mendavia,Ubago ,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Juan,Mendaza,Asarta ,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San martín,Mendaza,Acedo – Ubago ,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Román,Mirafuentes ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Esteban,Murieta ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Pedro,Nazar ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Millan,Oco ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santiago,Olejua ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa María,Viana ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa María,Zúñiga ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Virgen de Arquijas,Zúñiga ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Santo Cristo,Zúñiga ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Virgen de Beatasis,Zúñiga ,,23/06/2005,2005
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Juan Bautista,Saldías ,,23/06/2201,2201
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Vivienda nº2,Allín,Etxabarri ,23/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Vivienda nº1 duplex,Allín,Etxabarri ,23/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Almacen,Allín,Etxabarri ,23/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cuarto Trastero,Allín,Etxabarri ,23/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cuarto Trastero nº1,Allín,Etxabarri ,23/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Despacho Parroquial,Allín,Etxabarri ,23/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Despacho Parroquial,Allín,Etxabarri ,23/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cuarto trastero nº1,Allín,Etxabarri ,23/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cuarto Trastero nº2,Allín,Etxabarri ,23/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Vivienda y despacho parroquial sin nº,Allín,Etxabarri ,23/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Vivienda nº dos Planta Primera sin nº,Allín,Etxabarri ,23/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Ntra. Sra. De Legarda,Mendavia ,,23/11/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita El Calvario,Mendavia ,,23/11/2000,2000
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Ntra Sra de la Asunción,Barasoain ,,23/12/2005,2005
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita San Juan,Barasoain ,,23/12/2005,2005
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Millan,Beire ,,23/12/2005,2005
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia La Asuncion,Berbinzana ,,23/12/2005,2005
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Sta Fe,Caparroso ,,23/12/2005,2005
REGISTRO DE LA PROPIEDAD DE TAFALLA,Corrales c/ Santa Fé 3A y 3B,Caparroso ,,23/12/2005,2005
REGISTRO DE LA PROPIEDAD DE TAFALLA,Capilla barrio de la estación,Caparroso ,,23/12/2005,2005
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Sta. Maria,Falces ,,23/12/2005,2005
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita de El Salvador,Falces ,,23/12/2005,2005
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Santiago Apostol,Funes ,,23/12/2005,2005
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Martin,Garinoain ,,23/12/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .2.,Vivienda duplex letra B Plaza los Fueros 28-29,Estella ,,24/01/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .2.,Casa Parroquial San Juan Bautista,Estella ,,24/01/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San martín,Guesalaz,Estenoz ,24/04/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Aibar ,,24/10/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Bartolomé,Guesalaz ,,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Martin,Guesalaz ,Arguiñano ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Román,Guesalaz ,Arzoz ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Asunción,Guesalaz ,Garisoain ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Román,Guesalaz ,Irujo ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Asunción,Guesalaz ,Irurra ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Tierra de labor en la muga de Leranoz,Guesalaz ,Irurra ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Millán,Guesalaz ,Iturgaiz,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Andrés,Guesalaz ,Izurzu ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Pedro,Guesalaz ,Lerate ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa Eulalia,Guesalaz ,Muez ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,"Solar, calle Carretera",Guesalaz ,Muez ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Sta. Catalina,Guesalaz ,Muniain ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Sta. Magdalena,Guesalaz ,Muzqui ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Sta. Catalina,Guesalaz ,Vidaurre ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Martin,Guirguillano,Arguiñariz ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Miguel,Salinas de Oro ,,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Cosme y S. Damian,Yerri,Arandigoyen ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San martín,Yerri,Azcona ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Salvador,Yerri,Lorca ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Esteban,Yerri,Murillo ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Asunción,Yerri,Riezu ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San martín,Yerri,Ugar ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Esteban,Yerri,Villanueva,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Sta María,Yerri,Zuriain ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Andres,Yerri,Arizaleta ,24/12/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Cristo de Burdindogui,Esteribar ,,25/01/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita S. Tirso y finca 4.250 m2,Esparza ,,25/09/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Virgen de Los Milagros,Oroz Betelu ,,25/09/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita de San Juan,Armañanzas ,,25/11/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Ntra. Sra de Loreto,Nazar ,,25/11/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Gallipienzo ,,25/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Sta. Barbara,Eslava ,,26/01/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita S. Salvador en Barrelengu,Gallipienzo ,,26/01/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita S. Antonio,Lizoain,Aguinaga ,26/01/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Arrako,Roncal,Isaba ,26/01/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Idoia,Roncal,Isaba ,26/01/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Virgen Del Castillo,Roncal,Roncal ,26/01/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita S. Miguel,Sada ,,26/01/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Sta. Lucia,Sada ,,26/01/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Sta. Eulalia,Romanzado, Biguezal ,26/03/2003,2003
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita San Cristóbal,Aritzkun ,,26/04/2000,2000
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita San Fermín,Atzpilikueta,,26/04/2000,2000
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita Santiago,Atzpilikueta ,,26/04/2000,2000
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita San Marcos,Ciga ,,26/04/2000,2000
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita Santa Bárbara,Elbetea ,,26/04/2000,2000
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Errmita Santa Engracia,Elizondo ,,26/04/2000,2000
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita San Pedro,Elizondo ,,26/04/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Casa Parroquial,Arce,Nagore ,26/06/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Asunción,Marañon ,,26/06/2005,2005
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia San Juan Evangelista,Huarte ,,26/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Sta. Eufemia,Sada ,,27/01/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita S. Pedro,Jaurrieta ,,27/06/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita S. Bartolomé,Lumbier ,,27/06/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita La Trinidad,Lumbier ,,27/06/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita S. Pedro,Urroz ,,27/06/2000,2000
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Ermita Ntra. Sñra del Perdón,Cendea de Cizur,Astrain ,27/08/2001,2001
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Santa María de las Viñas,Arroniz ,,27/11/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Santa Cecilia,Arroniz ,,27/11/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita San pedro,Arroniz ,,27/11/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Ntra. Sra. De la Nieva,Dicastillo ,,27/11/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita El Calvario,Lodosa ,,27/11/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita de S. Adrián,Mirafuentes ,,27/11/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Juan,Otxagabia ,,28/02/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca Intxusdoia 3.828 m2,Otxagabia ,,28/02/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca Iberroeta,Otxagabia ,,28/02/2003,2003
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Pedro,Artajona ,,28/08/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Capilla calle Hospital,Artajona ,,28/08/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Ntra. Sra de los Abades,Milagro ,,28/08/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Ntra. Sra. De la Asunción,Oloriz ,,28/08/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Bartolomé,Oloriz ,,28/08/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Martin,San Martin de Unx ,,28/08/2006,2006
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Casa Parroquial,Aranaratxe ,,29/06/2002,2002
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita S. Babil,Sangüesa ,,29/08/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita de La Nora,Sangüesa ,,29/08/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita del Socorro,Sangüesa ,,29/08/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Virgen Del Camino,Sangüesa ,,29/08/2000,2000
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia La Asunción,Aranaz ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San martín,Arano ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Andrés,Azpilicueta ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita San Francisco Javier,Azpilicueta ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Pedro,Beinza Labayen ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Arbolado en Lupegi,Berroeta ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Pedro,Domestebe ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Helechal “San Miguel ” 429m/2,Domestebe ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Helechal “San Miguel”991m/2,Domestebe ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Helechal “San Miguel” 8.180m/2,Domestebe ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Pedro,Elgorriaga ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia Santiago,Elizondo ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Finca en Erabeta,Elizondo ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Pedro,Errazu ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Finca en Eliza,Errazu ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia Santa María,Etxalar ,,29/09/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia La Asunción,Goizueta ,,29/09/2004,2004
