REGISTRO,AYUNTAMIENTO,DATE,INMUEBLE,LOCALIDAD,YEAR,latitude,longitude
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Iza ,,Tierra de labor Urdaizoko,Larumbe ,,42.9081158,-1.7683873
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ergoyena,,Parroquia S. Clemente,Lizarraga,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Ollo ,,Parroquia S. Gregorio,Saldise,,42.8541521,-1.83056
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Etxarri ,,Ermita S. Gregorio,Aranaz ,,42.9076214,-2.0630873
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Larraun,,Parroquia S. Gregorio,Albiasu ,,43.0083865,-1.9359576
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Obanos ,,Ermita S. Salvador,,,42.6808183,-1.7851016
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Ollo ,,Parroquia S. Salvador,Arteta ,,42.8612002,-1.8699075
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Lakuntza,,Parroquia S. Salvador,,,42.9222192,-2.0227655
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Basaburua,,Parroquia S. Tiburcio,Oroquieta ,,,
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur ,01/02/2000,Vivienda nº 2 San Cosme y San Damian,Astrain ,2000.0,42.75562655,-1.7398432590396
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur ,01/02/2000,Despacho nº2 ” ” 01/02/2000,Astrain ,2000.0,42.75562655,-1.7398432590396
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur ,01/02/2000,Centro Catequesis,Astrain ,2000.0,42.75562655,-1.7398432590396
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur ,01/02/2000,Centro Catequesis Planta 1ª Calle San Cosme,Astrain ,2000.0,42.75562655,-1.7398432590396
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur ,01/02/2000,Vivienda nº2 Calle San Cosme y San Dam.,Astrain ,2000.0,42.75562655,-1.7398432590396
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur ,01/02/2000,Almacén Parroquial c. San Cosme y Sn. Da,Astrain ,2000.0,42.75562655,-1.7398432590396
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Mendavia,01/03/2005,Local comercial nº 10 calle Miguel Pérez,,2005.0,42.4443286,-2.200421
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Mendavia,01/03/2005,Local Comercial nº 29 calle Estación,,2005.0,42.4443286,-2.200421
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Mendavia,01/03/2005,Local nº 5 Calle de La estación,,2005.0,42.4443286,-2.200421
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Mendavia,01/03/2005,Local Comercial nº2 Calle de La Estación,,2005.0,42.4443286,-2.200421
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Zuñiga ,01/04/2000,Finca nº 22 concentración parcelaria,,2000.0,42.6930374,-2.3004117
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Zuñiga ,01/04/2000,Finca nº 30 concentración parcelaria,,2000.0,42.6930374,-2.3004117
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Zuñiga ,01/04/2000,Finca nº 85 concentración parcelaria,,2000.0,42.6930374,-2.3004117
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Zuñiga ,01/04/2000,Finca nº 157 concentración parcelaria,,2000.0,42.6930374,-2.3004117
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Zuñiga ,01/04/2000,Finca nº 93 concentración parcelaria,,2000.0,42.6930374,-2.3004117
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Zuñiga ,01/04/2000,Finca nº 136 concentración parcelaria,,2000.0,42.6930374,-2.3004117
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Zuñiga ,01/04/2000,Finca nº 151 concentración parcelaria,,2000.0,42.6930374,-2.3004117
