REGISTRO,AYUNTAMIENTO,DATE,INMUEBLE,LOCALIDAD,YEAR,latitude,longitude
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Alto,16/08/2003,Parroquia S. Esteban,Adoain ,2003.0,0.0,0.0
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Alto,16/08/2003,Parroquia S. Juan,Ayechu ,2003.0,42.8188906,-1.2196986
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Alto,16/08/2003,Parroquia S. Pedro,Elcuaz ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Alto,16/08/2003,Parroquia S. Andres,Eparoz ,2003.0,42.7736102,-1.252678
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Alto,16/08/2003,Parroquia Del Rosario,Imirizaldu ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Alto,16/08/2003,Parroquia S. Adrian,Irurozqui ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Alto,16/08/2003,Atrio 300 m2,Irurozqui,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Alto,16/08/2003,Parroquia La Purisima,Ongoz ,2003.0,42.7979695,-1.2393324
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Alto,16/08/2003,Parroquia S. Pedro,Ozcoidi ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Alto,16/08/2003,Parroquia S. Pedro,Zabalza ,2003.0,42.7412736,-1.2085978
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Bajo,16/08/2003,Parroquia S. Cornelio,Artieda ,2003.0,42.71397945,-1.32414664931247
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Bajo,16/08/2003,Parroquia Sta. Quiteria,Grez ,2003.0,42.71442515,-1.3411606168177
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Bajo,16/08/2003,Parroquia S. Juan Evangelista,Nardues ,2003.0,42.7094981,-1.3162114
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Bajo,16/08/2003,Parroquia La Purificacion,Ripodas ,2003.0,42.6866701,-1.3064915
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Bajo,16/08/2003,Parroquia La Purificacion,Sansoain ,2003.0,42.7144427,-1.3016432
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Bajo,16/08/2003,Parroquia S. Andres,San Vicente ,2003.0,42.6863732,-1.3250785
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urraul Bajo,16/08/2003,Parroquia S. Juan,Tabar ,2003.0,42.6690312,-1.3444701
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Yesa ,16/08/2003,Parroquia S. Esteban,,2003.0,42.6200623,-1.2011314
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Yesa ,16/08/2003,Almacen nº 21,,2003.0,42.6200623,-1.2011314
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Burgui ,16/08/2006,Parroquia S. Pedro,,2006.0,42.7199762,-1.0022698
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Burgui ,16/08/2006,Ermita Virgen Del Castillo,,2006.0,42.7199762,-1.0022698
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Castillo Nuevo ,16/08/2006,Parroquia S. Martin,,2006.0,42.6785165,-1.0445598
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Garde ,16/08/2006,Parroquia Santiago,,2006.0,42.7887447,-0.9239579
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Garde ,16/08/2006,Finca pastos en Aranea,,2006.0,42.7887447,-0.9239579
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Roncal ,16/08/2006,Parroquia S. Esteban,,2006.0,42.807425,-0.9557578
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Vidangoz ,16/08/2006,Parroquia S. Pedro,,2006.0,42.82130145,-1.01009809084008
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Barañain,16/11/2004,"Parroquia antigua, c./ Pueblo Viejo",,2004.0,42.8048344,-1.6810202
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur,16/11/2004,Parroquia San Cosme y San Damian,Astrain ,2004.0,42.75562655,-1.7398432590396
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur,16/11/2004,Parroquia San Emeterio y San Celedonio,Cizur Menor ,2004.0,42.7863469,-1.67394833805485
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur,16/11/2004,Parroquia Santa María,Gazolaz ,2004.0,42.79088115,-1.7177999970318
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur,16/11/2004,Parroquia San Esteban,Muru-Astrin ,2004.0,,
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur,16/11/2004,Parroquia San Martín,Paternain ,2004.0,42.78198165,-1.74591725536264
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur,16/11/2004,Parroquia San Martín,Undiano ,2004.0,42.75718465,-1.76430985337042
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur,16/11/2004,Parroquia San Andrés,Zariquiegui ,2004.0,42.7499744,-1.72173674283831
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur,16/11/2004,Parroquia San Miguel,Sagües,2004.0,42.78468425,-1.72425890929343
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cizur Mayor ,16/11/2004,Parroquia San Andrés,,2004.0,42.7920648,-1.6859675
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Desojo ,17/01/2002,Parroquia Sta. María,,2002.0,42.5881304,-2.2757428
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Desojo ,17/01/2002,Ermita Ntra. Sra. De Villanueva,,2002.0,42.5881304,-2.2757428
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Metauten ,17/01/2002,Parroquia S. Román,,2002.0,42.6764723,-2.1290028
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Metauten ,17/01/2002,Parroquia S. Nicolás,Arteaga ,2002.0,42.6865046,-2.1117316
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Metauten ,17/01/2002,Parroquia La Asunción,Ollobarren ,2002.0,42.6885498,-2.1349978
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Metauten ,17/01/2002,Parroquia S. Martin,Ollogoyen ,2002.0,42.6864108,-2.1475528
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Metauten ,17/01/2002,Parroquia S. Miguel,Zufia ,2002.0,42.6669323,-2.1035742
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Oteiza De La Solana ,17/01/2002,Parroquia S. Miguel,,2002.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Oteiza De La Solana ,17/01/2002,Ermita S. Tirso,,2002.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Azagra,17/02/2005,Planta Baja – Plaza El Salvador nº1, ,2005.0,42.3114896,-1.8943821
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Azagra,17/02/2005,Local planta baja Plaza del Salvador, ,2005.0,42.3114896,-1.8943821
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Gallues,17/03/2003,Finca en Burundoa,Izal ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Gallues,17/03/2003,Finca en la sierra,Uscarres ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Gallues,17/03/2003,Parroquia S. Bartolome,,2003.0,42.79483535,-1.11627027799678
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Gallues,17/03/2003,Parroquia S. Cosme y S. Damian,Icitz ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Gallues,17/03/2003,Parroquia S. Vicente,Izal ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Gallues,17/03/2003,Parroquia La Asuncion,Uscarres ,2003.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Aguilar de Codés ,17/06/2005,Parroquia La Santa Cruz,,2005.0,42.6131528,-2.3901003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ancín,17/06/2005,Parroquia San Andrés,Mendilibarri ,2005.0,42.659285,-2.170428
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ancín,17/06/2005,Parroquia San Fausto,Mendilibarri ,2005.0,42.659285,-2.170428
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Armañanzas ,17/06/2005,Parroquia Sta. María,,2005.0,42.560496,-2.2851222
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Azuelo ,17/06/2005,Parroquia San Jorge,,2005.0,42.6086595,-2.3493717
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,El Busto ,17/06/2005,Parroquia San Andrés,,2005.0,42.5490885,-2.2420409
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Espronceda ,17/06/2005,San Vicente Martir,,2005.0,42.5967145,-2.3049081
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Etayo y learza ,17/06/2005,Parroquia La Asunción,,2005.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Genevilla ,17/06/2005,Parroquia San Esteban,,2005.0,42.6451751,-2.3898518
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lapoblación ,17/06/2005,Parroquia La Asunción,,2005.0,42.6045586,-2.4593182
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lapoblación ,17/06/2005,Parroquia Santa María,Meano,2005.0,42.6034983,-2.4747239
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lazagurria ,17/06/2005,Parroquia Ntra. Sra del Rosario,,2005.0,42.4933338,-2.2419426
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Mendavia ,17/06/2005,Parroquia S. Juan Bautista,,2005.0,42.4443286,-2.200421
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Piedramillera ,17/06/2005,Parroquia La Natividad,,2005.0,42.6317106,-2.2027196
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,San Adrian ,17/06/2005,Templo de S. Andrés,,2005.0,42.332844,-1.9337322
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Torralba del Rio,17/06/2005,Parroquia San Martín,Otiñano ,2005.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ibargoiti,17/06/2006,Almacén Calle San martín nº 30A,Izco ,2006.0,42.6568296,-1.4283454
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,17/10/2006,Finca en Zaldiribar,Meoz ,2006.0,42.7673526,-1.3509993
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,17/10/2006,Finca en Zaldiribar 1.578 m2,Meoz ,2006.0,42.7673526,-1.3509993
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,17/10/2006,Finca en Zaldiribar 3.436 m2,Meoz ,2006.0,42.7673526,-1.3509993
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,17/10/2006,Finca en Zaldiribar 4.355 m2,Meoz ,2006.0,42.7673526,-1.3509993
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,17/10/2006,Finca en Zaldiribar 8.968 m2,Meoz ,2006.0,42.7673526,-1.3509993
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,17/10/2006,Finca en Murugain 3.944 m2,Meoz ,2006.0,42.7673526,-1.3509993
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,17/10/2006,Finca Iturzar 3.880 m2,Meoz ,2006.0,42.7673526,-1.3509993
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .2.,Estella ,17/12/2004,Parroquia San Pedro,,2004.0,42.672094,-2.0314834
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .2.,Estella ,17/12/2004,Parroquia San Miguel,,2004.0,42.672094,-2.0314834
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .2.,Estella ,17/12/2004,Iglesia Sn Pedro de Lizarra,,2004.0,42.672094,-2.0314834
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .2.,Estella ,17/12/2004,Parroquia San Juan Bautista,,2004.0,42.672094,-2.0314834
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Aranatz ,18/08/2000,Ermita en Egibe,,2000.0,42.9076959,-2.0648835
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Almandoz ,18/12/2001,Parroquia San Pedro,,2001.0,43.0905096,-1.6053991
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Aritzkun ,18/12/2001,Parroquia San Juan Bautista,,2001.0,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Arraiotz,18/12/2001,Parroquia La Asunción,,2001.0,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Berroeta ,18/12/2001,Parroquia San Martín,,2001.0,42.8485055,-0.8941392
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Maya ,18/12/2001,Parroquia La Asunción,,2001.0,42.3945308,-1.8613054
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ziga ,18/12/2001,Parroquia San Lorenzo,,2001.0,43.1196561,-1.5716078
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Monreal ,19/11/1999,Ermita Sta. Barbara,,1999.0,42.7064063,-1.51621045196067
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Sesma ,20/03/2007,Finca nº 4 concentración parcelaria,,2007.0,42.4772215,-2.0859495
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Sesma ,20/03/2007,Finca nº 21 concentración parcelaria,,2007.0,42.4772215,-2.0859495
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Sesma ,20/03/2007,Finca nº 15-B concentración parcelaria,,2007.0,42.4772215,-2.0859495
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ayegui,20/05/2002,Parroquia San martín,Iratxe ,2002.0,42.6468039,-2.0539197
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ayegui,20/05/2002,Parroquia S. Martin,Iratxe ,2002.0,42.6468039,-2.0539197
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Sorlada ,20/05/2002,Parroquia Santa Cecilia,,2002.0,42.6150004,-2.2161205
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Sorlada ,20/05/2002,Basílica Gregorio Hostiense,,2002.0,42.6150004,-2.2161205
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Sorlada ,20/05/2002,Parroquia Santa Cecilia,,2002.0,42.6150004,-2.2161205
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Sorlada ,20/05/2002,Basilica a S. Gregorio Ostiense,,2002.0,42.6150004,-2.2161205
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Oyeregui ,20/09/2004,Parroquia San Juan Bautista,,2004.0,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Zozaya ,20/09/2004,Parroquia Justo y Pastor,,2004.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allo ,20/10/2003,Parroquia Santa María,,2003.0,42.5673713,-2.0211169
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allo ,20/10/2003,Ermita Santo Cristo de las Aguas,,2003.0,42.5673713,-2.0211169
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Mues ,20/10/2003,Parroquia Santa Eugenia,,2003.0,42.6061514,-2.2262371
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Aras,20/10/2005,Parroquia Santa María,,2005.0,42.56771435,-2.3566863095677
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar ,21/01/2000,Ermita S. Salvador,,2000.0,42.9492605,-1.51642907773048
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Aranaratxe ,21/01/2002,Ermita de San miguel,,2002.0,42.7795361,-2.2285728
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Luquin ,21/01/2002,Ermita Ntra. Sra de los Remedios,,2002.0,42.6122984,-2.0991905
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Mues,21/01/2002,Ermita Ntra. Sra de La Cuesta,,2002.0,42.6061514,-2.2262371
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Sesma ,21/01/2002,"Ermita Ntra Sra,de los Remedios",,2002.0,42.4772215,-2.0859495
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Erro,21/03/2003,Parroquia S. Esteban,Aincioa ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Erro,21/03/2003,Parroquia S. Pedro,Ardaiz ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Erro,21/03/2003,Parroquia S. Esteban,,2003.0,42.9421516,-1.4504184
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Erro,21/03/2003,Parroquia S. Martin,Esnoz ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Erro,21/03/2003,Parroquia S. Bartolomé,Espinal ,2003.0,42.9796091,-1.353147
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Erro,21/03/2003,Parroquia S. Saturnino,Linzoain ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Erro,21/03/2003,Parroquia S. Andres y cementerio,Loizu ,2003.0,42.9160342,-1.4399788
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Erro,21/03/2003,Parroquia S. Cristóbal,Mezquiriz ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Erro,21/03/2003,Parroquia S. Juan,Olondriz ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Erro,21/03/2003,Parroquia S. Pedro,Viscarret ,2003.0,,
REGISTRO DE LA PROPIEDAD DE TUDELA/TUTERA Nº .1.,Cadreita ,21/03/2007,Parroquia San Miguel,,2007.0,42.2186192,-1.6939037
REGISTRO DE LA PROPIEDAD DE TUDELA/TUTERA Nº .1.,Tudela ,21/03/2007,Iglesia Catedral,,2007.0,42.0639202,-1.6051916
REGISTRO DE LA PROPIEDAD DE TAFALLA,Tafalla ,21/08/2006,Parroquia Sta. Maria,,2006.0,42.5281172,-1.6744043
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Artazu ,21/11/2000,Ermita Santa Cruz,,2000.0,42.6913086,-1.8401742
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Vera de Bidasoa ,22/02/2007,Finca 5.050 m/2 calle Legia,,2007.0,43.284216,-1.6713433658622
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Andosilla ,22/03/2002,Finca nº 12 concentración parcelaria,,2002.0,42.376476,-1.9448153
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Sansol ,22/05/2005,San Zoilo,,2005.0,42.5529212,-2.2670216
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Etxalar ,22/06/2001,Ermita Santa Crutz,,2001.0,43.23441,-1.6386824
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Azagra ,23.06-2005,Viña- Regadio – paraje El Raso del Barco,,2005.0,42.3114896,-1.8943821
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .2.,Pamplona ,23/01/2007,Catedral Metropolitana,,2007.0,42.8185502,-1.6444165
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Azagra ,23/03/2005,Parroquia de El Salvador,,2005.0,42.3114896,-1.8943821
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Azagra ,23/03/2005,Almacen – Calle Cortes de Navarra nº 32-A,,2005.0,42.3114896,-1.8943821
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Mendaza y Acedo ,23/03/2005,Parroquia San Félix Obispo,,2005.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Egüés,23/05/2003,Parroquia Sta. Engracia,Sarriguren ,2003.0,42.8105858,-1.5926872
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Los Arcos ,23/05/2005,Ermita El Calvario,,2005.0,42.569785,-2.1929119
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Abaigar ,23/06/2005,Parroquia San Vicente martir,,2005.0,42.6487244,-2.1429997
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Abaigar ,23/06/2005,Ermita San Bartolomé,,2005.0,42.6487244,-2.1429997
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Acedo/Mendaza ,23/06/2005,Parroquia La Asunción,,2005.0,42.6672294,-2.2495988
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Azagra ,23/06/2005,Pinar en el paraje Laplanilla,,2005.0,42.3114896,-1.8943821
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Bargota ,23/06/2005,Parroquia Santa María,,2005.0,42.5606259,-2.3105858
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Bargota ,23/06/2005,Ermita Ntra. Sra. Del Poyo,,2005.0,42.5606259,-2.3105858
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cabredo ,23/06/2005,Parroquia Santiago El Mayor,,2005.0,42.629694,-2.4115903
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cabredo ,23/06/2005,Pastos- Arbolado paraje Solcasa,,2005.0,42.629694,-2.4115903
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Carcar ,23/06/2005,Parroquia San Miguel,,2005.0,42.3912902,-1.9748128
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Carcar ,23/06/2005,Casa parroquial,,2005.0,42.3912902,-1.9748128
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lana,23/06/2005,Parroquia San Pedro,Galbarra,2005.0,42.7093643,-2.2493019
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lana,23/06/2005,Parroquia S. Saturnino,Gastiain ,2005.0,42.7213393,-2.2839627
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lana,23/06/2005,Parroquia San Millán,Narcue ,2005.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lana,23/06/2005,Parroquia Santa María,Ulibarri ,2005.0,42.7282969,-2.21823592346351
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lana,23/06/2005,Local adosado parroquia,Ulibarri ,2005.0,42.7282969,-2.21823592346351
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lana,23/06/2005,Parroquia San Andres,Viloria ,2005.0,0.0,0.0
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lodosa ,23/06/2005,Parroquia San Miguel,,2005.0,42.4241886,-2.0785646
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lodosa ,23/06/2005,Parroquia San Miguel,,2005.0,42.4241886,-2.0785646
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Los Arcos ,23/06/2005,Parroquia La Asunción,,2005.0,42.569785,-2.1929119
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Los Arcos ,23/06/2005,Ermita San Sebastian,,2005.0,42.569785,-2.1929119
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Los Arcos ,23/06/2005,Ermita San Blas,,2005.0,42.569785,-2.1929119
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Marañon ,23/06/2005,Ermita Santo Cristo,,2005.0,42.628671,-2.4391688
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Mendavia,23/06/2005,Parroquia San martín,Ubago ,2005.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Mendaza,23/06/2005,Parroquia S. Juan,Asarta ,2005.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Mendaza,23/06/2005,Parroquia San martín,Acedo – Ubago ,2005.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Mirafuentes ,23/06/2005,Parroquia San Román,,2005.0,42.6218731,-2.2783646
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Murieta ,23/06/2005,Parroquia San Esteban,,2005.0,42.6562443,-2.1543464
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Nazar ,23/06/2005,Parroquia San Pedro,,2005.0,42.6368976,-2.2793568
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Oco ,23/06/2005,Parroquia San Millan,,2005.0,42.6398697,-2.1647551
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Olejua ,23/06/2005,Parroquia Santiago,,2005.0,42.6235601,-2.1423082
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Viana ,23/06/2005,Parroquia Santa María,,2005.0,42.5151135,-2.3717803
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Zúñiga ,23/06/2005,Parroquia Santa María,,2005.0,42.6930374,-2.3004117
